PERIOD,REGION,RURAL/URBAN,SEX,AGE MEAN,STATURE,TMAXLN,HR50AP,HR50ML,HL50AP,HL50ML
Very recent,Scand./Finland,2,1,49,170.7,391,25.1,25.1,25.0,22.9
Very recent,Scand./Finland,2,1,30,163.4,352,22.2,20.2,22.1,19.0
Very recent,Scand./Finland,2,2,50,160.1,346,18.7,19.8,20.1,20.3
Very recent,Scand./Finland,2,2,41,163.8,363,18.7,20.1,18.3,18.8
Very recent,Scand./Finland,2,1,34,171.8,400,23.8,27.5,22.7,26.6
Very recent,Scand./Finland,2,1,34,171.2,386,20.9,23.1,20.9,20.7
Very recent,Scand./Finland,2,2,54,159.5,356,19.9,19.3,20.2,17.6
Very recent,Scand./Finland,2,1,62,167.2,373,22.1,23.2,21.4,22.5
Very recent,Scand./Finland,2,1,73,165.1,370,23.9,24.2,24.3,23.3
Very recent,Scand./Finland,2,1,38,156.8,340,25.0,23.7,24.4,22.2
Very recent,Scand./Finland,2,1,28,163.8,371,25.3,25.5,24.4,24.8
Very recent,Scand./Finland,2,1,81,163.6,355,27.5,22.4,25.1,24.8
Very recent,Scand./Finland,2,1,38,155.9,331,25.1,23.2,23.5,22.7
Very recent,Scand./Finland,2,2,77,155.4,338,20.9,18.0,20.7,17.7
Very recent,Scand./Finland,1,1,44,161.3,344,22.1,20.8,21.7,20.5
Very recent,Scand./Finland,2,1,33,164.8,366,21.4,22.7,21.6,21.8
Very recent,Scand./Finland,2,1,55,172.0,389,24.8,22.1,24.1,21.7
Very recent,Scand./Finland,1,2,22,149.4,320,20.2,18.3,19.7,17.6
Very recent,Scand./Finland,2,1,28,163.2,349,22.2,23.8,20.7,23.1
Very recent,Scand./Finland,2,2,31,147.8,311,19.7,21.6,19.9,20.0
Very recent,Scand./Finland,2,1,45,161.7,355,21.3,22.5,21.6,17.9
Very recent,Scand./Finland,1,1,29,163.6,351,25.1,22.9,23.0,23.9
Very recent,Iberia,2,2,50,156.5,352,20.6,19.9,20.4,20.2
Very recent,Iberia,2,2,56,148.9,332,19.2,18.1,19.4,17.2
Very recent,Iberia,2,1,53,160.2,352,19.1,20.6,18.1,20.1
Very recent,Iberia,2,1,30,165.4,376,21.0,19.5,20.6,18.6
Very recent,Iberia,2,1,55,155.9,340,22.9,22.9,22.8,23.0
Very recent,Iberia,2,1,66,165.3,381,23.9,22.9,24.1,21.2
Very recent,Iberia,2,2,35,144.8,310,19.8,19.4,19.7,19.2
Very recent,Iberia,2,2,44,154.4,345,19.9,18.2,19.4,18.5
Very recent,Iberia,2,1,50,157.7,366,19.2,17.5,18.0,17.3
Very recent,Iberia,2,2,29,155.0,338,19.9,19.1,18.9,18.9
Very recent,Iberia,2,2,65,152.5,333,18.8,18.7,17.7,19.3
Very recent,Iberia,2,2,27,151.7,335,18.7,17.2,18.6,16.1
Very recent,Iberia,2,1,30,174.0,381.5,20.9,19.9,19.8,19.0
Very recent,Iberia,2,1,30,160.3,360.5,21.5,20.4,19.0,18.9
Very recent,Iberia,2,1,29,168.8,371,19.0,16.3,18.6,16.5
Very recent,Iberia,2,1,43,159.8,372,23.6,21.1,23.4,22.1
Very recent,Iberia,2,1,38,162.2,336,19.3,17.9,18.7,16.8
Very recent,Iberia,2,2,51,150.4,319,19.3,19.1,17.8,18.5
Very recent,Iberia,2,1,27,159.1,332,20.5,19.8,19.4,19.9
Very recent,Iberia,2,1,31,164.1,358,19.8,21.9,19.4,21.0
Very recent,Iberia,2,2,21,148.4,328,15.6,14.9,15.9,15.2
Very recent,Iberia,2,2,32,151.4,330.5,15.3,16.4,15.4,16.2
Very recent,Iberia,2,1,50,173.9,394.5,21.8,23.4,21.1,20.4
Very recent,Iberia,2,1,46,164.8,358,20.9,23.3,20.4,22.3
Very recent,Iberia,2,2,62,153.8,348,24.3,20.2,24.1,20.6
Very recent,Iberia,2,2,42,149.2,327,21.0,19.8,19.1,19.9
Very recent,Iberia,2,2,48,152.5,324,19.7,18.5,17.9,17.4
Very recent,Iberia,2,2,25,152.8,329,17.4,18.2,16.4,17.4
Very recent,Iberia,2,1,51,170.8,387,20.8,21.1,21.0,21.6
Very recent,Iberia,2,1,25,178.2,411.5,23.6,23.2,23.6,23.6
Very recent,Iberia,2,1,23,146.8,303,18.0,16.9,18.3,16.6
Very recent,Iberia,2,1,30,159.6,339,19.0,21.9,18.8,21.3
Very recent,Iberia,2,1,50,168.9,369.5,22.6,22.6,23.0,22.0
Very recent,Iberia,2,1,67,147.1,334.5,19.4,20.1,19.1,18.3
Very recent,Iberia,2,1,37,168.3,381,21.1,19.8,20.8,19.9
Very recent,Iberia,2,1,56,163.5,390,20.5,23.2,19.9,22.1
Very recent,Iberia,2,1,43,166.5,366,22.9,21.7,21.9,20.0
Very recent,Iberia,2,2,20,151.4,336,19.4,17.3,18.0,16.6
Very recent,Iberia,2,2,32,160.5,352,18.4,18.4,16.5,17.6
Very recent,Iberia,2,2,55,138.7,297,15.8,14.4,15.7,14.6
Very recent,Iberia,2,2,54,152.3,335.5,19.4,19.1,18.0,19.3
Very recent,Iberia,2,1,44,166.8,364,20.8,20.6,19.9,20.3
Very recent,Iberia,2,2,32,152.1,331.5,17.9,17.7,18.8,16.7
Very recent,Iberia,2,2,25,153.9,336,17.1,17.1,17.7,15.6
Very recent,Iberia,2,2,23,154.3,352,22.1,20.5,20.1,19.0
Very recent,Iberia,2,1,32,156.7,335,22.0,23.1,21.6,22.9
Very recent,Iberia,2,2,41,158.9,349.5,18.5,17.6,18.0,16.9
Very recent,Iberia,2,2,40,149.7,327,19.4,19.3,19.5,19.1
Very recent,Iberia,2,2,47,149.3,336,19.9,19.9,20.8,21.5
Early modern,Britain,2,2,35,157.4,342.5,18.8,20.4,17.6,18.9
Early modern,Britain,2,2,49,160.8,348,19.0,18.6,18.2,18.7
Early modern,Britain,2,1,36,174.0,385,25.3,25.2,23.9,24.2
Early modern,Britain,2,1,34,166.2,383,20.6,21.3,20.9,20.8
Early modern,Britain,2,2,45,156.0,355,18.9,21.3,18.9,21.9
Early modern,Britain,2,2,35,142.1,298,18.5,18.5,18.5,17.7
Early modern,Britain,2,2,23,156.8,356,15.0,17.7,17.1,16.7
Early modern,Britain,2,2,29,155.9,344,18.3,19.4,17.4,18.7
Early modern,Britain,2,1,34,157.9,345,18.2,18.8,18.4,20.7
Early modern,Britain,2,2,29,146.6,299,17.1,17.1,17.4,17.5
Early modern,Britain,2,2,26,150.6,335,18.3,20.1,18.5,18.9
Early modern,Britain,2,2,45,150.2,321,18.6,19.2,19.8,17.9
Early modern,Britain,2,1,39,161.0,348,20.1,22.6,21.3,22.5
Early modern,Britain,2,2,37,159.1,338,17.4,16.5,17.9,15.9
Early modern,Britain,2,2,49,143.9,306,17.8,20.5,20.2,17.6
Early modern,Britain,2,1,21,153.4,321,20.4,20.5,19.6,19.0
Early modern,Britain,2,1,44,159.2,348,21.0,21.1,22.1,19.4
Early modern,Britain,2,1,48,154.4,333,19.1,20.0,19.2,19.2
Early modern,Britain,2,1,46,158.8,360.5,20.5,23.5,22.4,21.8
Early modern,Britain,2,2,46,150.6,336,19.6,19.8,19.8,18.1
Early modern,Britain,2,1,47,163.3,375,23.2,24.0,20.2,23.1
Early modern,Britain,2,2,37,153.9,336.5,19.1,20.6,18.9,19.0
Early modern,Britain,2,1,25,153.2,337,19.8,20.1,20.1,18.9
Early modern,Britain,2,1,27,165.9,376.5,20.4,23.1,20.0,19.5
Early modern,Britain,2,2,41,159.6,363,19.0,18.9,18.4,18.4
Early modern,Britain,2,2,28,151.6,335,20.0,21.1,20.2,19.2
Early modern,Britain,2,2,27,154.8,319,17.0,19.3,18.6,19.6
Early modern,Britain,2,1,49,159.0,345,21.6,21.6,22.7,19.5
Early modern,Britain,2,2,43,160.0,352,17.7,18.5,17.3,18.7
Early modern,Britain,2,2,39,156.9,351,18.1,18.6,18.0,18.6
Early modern,Scand./Finland,2,2,53.1,152.2,320,21.5,20.1,21.2,20.1
Early modern,Scand./Finland,2,1,27.8,161.2,332,23.8,22.0,23.7,21.2
Early modern,Scand./Finland,2,1,45.3,156.6,341,25.4,25.6,25.3,24.7
Early modern,Scand./Finland,2,2,27.7,150.1,330,19.6,22.5,21.4,22.1
Early modern,Scand./Finland,2,2,56.5,149.5,324,22.6,17.7,20.7,18.4
Early modern,Scand./Finland,2,2,52.5,159.7,356,23.2,20.9,22.9,19.3
Early modern,Scand./Finland,2,1,43.8,166.6,375,26.7,23.9,25.2,23.2
Early modern,Scand./Finland,2,1,27,160.1,364,21.8,21.2,22.0,21.0
Early modern,Scand./Finland,2,1,35,158.9,348,23.6,22.3,22.9,22.2
Early modern,Scand./Finland,2,1,29.1,159.9,343,23.8,19.9,23.0,20.0
Early modern,Scand./Finland,2,1,44.2,163.1,361,25.4,22.0,25.2,22.0
Early modern,Scand./Finland,2,2,25.7,159.9,366,21.7,18.2,21.1,18.3
Early modern,Scand./Finland,2,1,40,171.5,377,22.5,21.1,22.8,19.1
Early modern,Scand./Finland,1,2,27.5,163.8,379,19.9,19.2,19.9,20.0
Early modern,Scand./Finland,1,2,36.3,154.2,340,21.2,19.7,20.4,18.5
Early modern,Scand./Finland,1,1,37.2,167.6,384,24.1,24.7,23.4,23.9
Early modern,Scand./Finland,1,2,25.8,156.3,340,18.9,17.3,18.5,18.6
Early modern,Scand./Finland,1,1,41,163.6,347,21.3,21.0,22.3,21.1
Early modern,Scand./Finland,1,1,44.4,167.2,368,22.9,20.8,21.1,21.9
Early modern,Scand./Finland,1,2,27.3,163.7,352.5,20.8,20.7,21.0,20.0
Early modern,Scand./Finland,1,1,26,169.6,395.5,23.2,21.7,23.2,22.9
Early modern,Scand./Finland,1,2,21.5,152.9,318.5,19.4,21.1,19.9,20.2
Early modern,Scand./Finland,1,1,29.2,162.0,361,26.1,22.5,25.4,22.9
Early modern,Scand./Finland,1,1,27.3,179.4,407.5,22.6,22.8,21.0,20.6
Early modern,Scand./Finland,1,1,26.8,166.8,364,25.5,23.2,24.5,22.4
Early modern,Scand./Finland,1,2,38.5,146.8,319,19.8,19.0,19.3,18.8
Early modern,Scand./Finland,1,2,36.4,162.6,374,28.7,16.2,19.2,19.0
Early modern,Scand./Finland,1,1,46.9,155.7,346,23.8,22.3,22.9,23.3
Early modern,Scand./Finland,1,1,40.9,176.5,410,24.3,21.9,23.8,21.6
Early modern,Scand./Finland,1,2,51.6,155.5,336,22.5,18.2,21.1,19.2
Early modern,Scand./Finland,1,1,31.4,164.5,358,25.0,24.0,25.0,23.3
Late Medieval,Scand./Finland,2,2,49.5,150.8,325,18.5,18.7,17.8,18.4
Late Medieval,Scand./Finland,2,2,49.5,156.2,327,18.8,20.7,19.3,20.6
Late Medieval,Scand./Finland,2,1,29.5,176.4,395,23.7,24.1,22.4,21.9
Late Medieval,Scand./Finland,2,1,29.5,174.5,394,21.6,22.6,21.2,20.9
Late Medieval,Scand./Finland,2,1,22.5,172.6,380,23.9,19.7,23.7,19.4
Late Medieval,Scand./Finland,2,2,29.5,160.9,356,20.2,19.7,19.2,19.2
Late Medieval,Scand./Finland,2,1,49.5,168.7,370,21.9,21.9,22.1,22.0
