vondstnummer;project_code;subcategorie;object;begin_dat;eind_dat;vlak_max;munt_lengte_diameter_in_mm;vondstnummer,project_code,subcategorie,object,begin_dat,eind_dat,vlak_max,munt_lengte_diameter_in_mm
NZC1.00001MTL001;NZC1;metaal: zilver;munt;1698.0;1698.0;;55.0;NZC1.00001MTL001,NZC1,metaal: zilver,munt,1698.0,1698.0,,55.0
NZD1.00005MTL001;NZD1;metaal: nikkel;munt;1977.0;1977.0;;19.0;NZD1.00005MTL001,NZD1,metaal: nikkel,munt,1977.0,1977.0,,19.0
NZD1.00005MTL002;NZD1;metaal: nikkel;munt;1986.0;1986.0;;19.0;NZD1.00005MTL002,NZD1,metaal: nikkel,munt,1986.0,1986.0,,19.0
NZD1.00005MTL003;NZD1;metaal: nikkel;munt;1987.0;1987.0;;19.0;NZD1.00005MTL003,NZD1,metaal: nikkel,munt,1987.0,1987.0,,19.0
NZD1.00007MTL002;NZD1;metaal: koper-nikkel;munt;1991.0;1991.0;;29.0;NZD1.00007MTL002,NZD1,metaal: koper-nikkel,munt,1991.0,1991.0,,29.0
NZD1.00007MTL009;NZD1;metaal: aluminium-brons;munt;1950.0;1950.0;;23.0;NZD1.00007MTL009,NZD1,metaal: aluminium-brons,munt,1950.0,1950.0,,23.0
NZD1.00007MTL010;NZD1;metaal: nikkel;munt;1969.0;1969.0;;24.0;NZD1.00007MTL010,NZD1,metaal: nikkel,munt,1969.0,1969.0,,24.0
NZD1.00007MTL011;NZD1;metaal: ijzer-koper;munt;1949.0;2000.0;;21.5;NZD1.00007MTL011,NZD1,metaal: ijzer-koper,munt,1949.0,2000.0,,21.5
NZD1.00007MTL012;NZD1;metaal: brons;munt;1980.0;1980.0;;21.0;NZD1.00007MTL012,NZD1,metaal: brons,munt,1980.0,1980.0,,21.0
NZD1.00007MTL013;NZD1;metaal: brons;munt;1958.0;1958.0;;17.0;NZD1.00007MTL013,NZD1,metaal: brons,munt,1958.0,1958.0,,17.0
NZD1.00007MTL014;NZD1;metaal: koper-nikkel;munt;1997.0;1997.0;;25.0;NZD1.00007MTL014,NZD1,metaal: koper-nikkel,munt,1997.0,1997.0,,25.0
